ID_LEXEMA 	LiNEA 	COLUMNA 	TOKEN                	LEXEMA
12        	98    	19      	EXCLAMATION          	!
13        	99    	5       	RBLOCK               	:|
27        	102   	5       	ID                   	b
18        	102   	6       	ASSIGN               	<-
38        	102   	9       	INT_LIT              	5
12        	102   	10      	EXCLAMATION          	!
61        	103   	5       	INCREMENT            	++
27        	103   	7       	ID                   	b
12        	103   	8       	EXCLAMATION          	!
39        	104   	5       	COUT                 	cout
2         	104   	9       	SEPARATOR            	~
4         	104   	10      	LPAR                 	<|
27        	104   	12      	ID                   	b
8         	104   	13      	RPAR                 	|>
12        	104   	15      	EXCLAMATION          	!
62        	105   	5       	DECREMENT            	--
27        	105   	7       	ID                   	b
12        	105   	8       	EXCLAMATION          	!
39        	106   	5       	COUT                 	cout
2         	106   	9       	SEPARATOR            	~
4         	106   	10      	LPAR                 	<|
27        	106   	12      	ID                   	b
8         	106   	13      	RPAR                 	|>
12        	106   	15      	EXCLAMATION          	!
26        	109   	5       	ID                   	a
18        	109   	6       	ASSIGN               	<-
50        	109   	9       	INT_LIT              	2
63        	109   	11      	POWER                	^
35        	109   	13      	INT_LIT              	3
12        	109   	14      	EXCLAMATION          	!
39        	110   	5       	COUT                 	cout
2         	110   	9       	SEPARATOR            	~
4         	110   	10      	LPAR                 	<|
26        	110   	12      	ID                   	a
8         	110   	13      	RPAR                 	|>
12        	110   	15      	EXCLAMATION          	!
26        	111   	5       	ID                   	a
18        	111   	6       	ASSIGN               	<-
37        	111   	9       	INT_LIT              	10
64        	111   	12      	MOD                  	%
35        	111   	14      	INT_LIT              	3
12        	111   	15      	EXCLAMATION          	!
39        	112   	5       	COUT                 	cout
2         	112   	9       	SEPARATOR            	~
4         	112   	10      	LPAR                 	<|
26        	112   	12      	ID                   	a
8         	112   	13      	RPAR                 	|>
12        	112   	15      	EXCLAMATION          	!
39        	114   	5       	COUT                 	cout
2         	114   	9       	SEPARATOR            	~
4         	114   	10      	LPAR                 	<|
65        	114   	12      	STRING_LIT           	"Fin pruebas!"
8         	114   	26      	RPAR                 	|>
12        	114   	28      	EXCLAMATION          	!
13        	115   	1       	RBLOCK               	:|
